,area,concentration,date,dupl,medium,species
374,656118.4841095747,39,2018-06-25,1,PDA,S.commune
375,757378.2985200809,39,2018-06-25,1,PDA,S.commune
376,548911.634805823,39,2018-06-25,1,PDA,S.commune
377,685146.8002287444,39,2018-06-25,2,PDA,S.commune
378,627718.486521123,39,2018-06-25,2,PDA,S.commune
379,776001.6597705613,39,2018-06-25,2,PDA,S.commune
380,567450.1730546564,39,2018-06-25,1,PDA,S.commune.DSC3
381,520401.6814744956,39,2018-06-25,1,PDA,S.commune.DSC3
382,313706.8760168624,39,2018-06-25,1,PDA,S.commune.DSC3
383,922886.8242891519,39,2018-06-25,2,PDA,S.commune.DSC3
384,463246.68632773653,39,2018-06-25,2,PDA,S.commune.DSC3
385,644683.0868505079,39,2018-06-25,2,PDA,S.commune.DSC3
386,616534.4166743433,58.5,2018-06-25,1,PDA,S.commune
387,673460.0755573903,58.5,2018-06-25,1,PDA,S.commune
388,556819.0235149085,58.5,2018-06-25,1,PDA,S.commune
389,676372.3319472681,58.5,2018-06-25,2,PDA,S.commune
390,589014.0650288967,58.5,2018-06-25,2,PDA,S.commune
391,14957.122623741005,58.5,2018-06-25,1,PDA,S.commune.DSC3
392,16741.54725098001,58.5,2018-06-25,1,PDA,S.commune.DSC3
393,5026.548245743669,58.5,2018-06-25,1,PDA,S.commune.DSC3
394,633348.2205563559,58.5,2018-06-25,2,PDA,S.commune.DSC3
395,3216.990877275948,58.5,2018-06-25,2,PDA,S.commune.DSC3
396,146574.14684588538,,2018-06-25,1,YPD,P.ostreatus
397,114608.44159560924,,2018-06-25,1,YPD,P.ostreatus
398,67886.67565142184,,2018-06-25,1,YPD,P.ostreatus
399,145220.12041218817,,2018-06-25,1,YPD,P.ostreatus
400,146574.14684588538,,2018-06-25,1,YPD,P.ostreatus
401,78426.7190042156,,2018-06-25,1,YPD,P.ostreatus
402,23778.714795021144,,2018-06-25,1,YPD,P.ostreatus
403,28352.873698647883,,2018-06-25,1,YPD,P.ostreatus
404,220618.34409834322,,2018-06-25,1,YPD,S.commune
405,149301.04926920132,,2018-06-25,1,YPD,S.commune
406,229022.1044466959,,2018-06-25,1,YPD,S.commune
407,420835.1855042743,,2018-06-25,1,YPD,S.commune
408,146574.14684588538,,2018-06-25,1,YPD,S.commune.DSC3
409,7238.229473870883,,2018-06-25,1,YPD,S.commune.DSC3
410,5026.548245743669,,2018-06-25,1,YPD,S.commune.DSC3
411,702865.3827949908,47.5,2018-06-26,1,MEA,S.commune
412,1056831.7686676064,47.5,2018-06-26,1,MEA,S.commune
